ID,Title,Thumbnail,Language,Duration_minutes,Likes,Views,Published_date
A8t0b0auTDs,"Intel Value King - WAN Show December 13, 2024",https://i.ytimg.com/vi/A8t0b0auTDs/default.jpg,en,194,7338,390519,2024-12-14
dboPZUcTAW4,THE ARC B580 IS ACTUALLY GREAT & AFFORDABLE,https://i.ytimg.com/vi/dboPZUcTAW4/default.jpg,en,17,81086,1711602,2024-12-12
X07t7403Q9Q,Upgrading my Big Brother’s Setup - AMD $5000 Ultimate Tech Upgrade,https://i.ytimg.com/vi/X07t7403Q9Q/default.jpg,en,32,70958,1800074,2024-12-11
0208nuGPmZw,I Rented an AirBnB to Look for Hidden Cameras,https://i.ytimg.com/vi/0208nuGPmZw/default.jpg,en,15,53284,1538978,2024-12-10
71jBX5N3wcM,Finally a Mac for This Economy - Mac Mini M4,https://i.ytimg.com/vi/71jBX5N3wcM/default.jpg,en,14,44724,1327141,2024-12-09
jnsVGAgHEM8,Don't fall for this Power Saving Scam!,https://i.ytimg.com/vi/jnsVGAgHEM8/default.jpg,en,9,37821,924848,2024-12-08
Os0Yo4g-Ezw,"I'm Not The Only CEO That Got Fired - WAN Show December 6, 2024",https://i.ytimg.com/vi/Os0Yo4g-Ezw/default.jpg,en,194,9254,551099,2024-12-07
Bhew95wMmP8,"I really tried, Apple - iPhone 30-Day Challenge",https://i.ytimg.com/vi/Bhew95wMmP8/default.jpg,en,21,128543,2954285,2024-12-05
yJkRd9py5mA,Should You Pay Full Price for Windows?,https://i.ytimg.com/vi/yJkRd9py5mA/default.jpg,en,13,82274,1727890,2024-12-04
HhmloI9Kcs8,Intel had a WILD day,https://i.ytimg.com/vi/HhmloI9Kcs8/default.jpg,en,11,54979,1438735,2024-12-03
RzTVIm3_0Wo,How Long Can We Make A Screwdriver?,https://i.ytimg.com/vi/RzTVIm3_0Wo/default.jpg,en,1,53748,1305363,2024-12-02
S-NbCPEgP1A,The fastest CPU in the world,https://i.ytimg.com/vi/S-NbCPEgP1A/default.jpg,en,26,68630,2027938,2024-12-02
xayoYq5bfaM,Is It a Good Time to Buy a Gaming PC?,https://i.ytimg.com/vi/xayoYq5bfaM/default.jpg,en,14,52828,1092614,2024-12-01
kiXSswB45kY,Revealing my NEW Investment!,https://i.ytimg.com/vi/kiXSswB45kY/default.jpg,en,24,55754,1470512,2024-11-30
bNVOBNPGVCo,"Look At Me I'm The Sponsor Now - WAN Show November 29, 2024",https://i.ytimg.com/vi/bNVOBNPGVCo/default.jpg,en,189,8781,546937,2024-11-30
oQLUZ78LlCE,"Turning 100,000 Screwdriver Shafts into Pens",https://i.ytimg.com/vi/oQLUZ78LlCE/default.jpg,en,1,56973,1110177,2024-11-29
ESyiQ0tfqFQ,dbrand left me Unsupervised in their Factory,https://i.ytimg.com/vi/ESyiQ0tfqFQ/default.jpg,en,21,67119,1297098,2024-11-29
RqQ8SQqjlGk,The PERFECT PC at Every Price,https://i.ytimg.com/vi/RqQ8SQqjlGk/default.jpg,en,15,37370,954753,2024-11-28
vIJgc-5bOkw,I'm Scared of my viewer's MESS - The Setup Doctor,https://i.ytimg.com/vi/vIJgc-5bOkw/default.jpg,en,17,47235,1256033,2024-11-27
Ogb9_9lWa5k,Building PCs until I get good at it - Celebrating 16 years of LTT,https://i.ytimg.com/vi/Ogb9_9lWa5k/default.jpg,en,310,11585,462293,2024-11-27
d2LRKdsQttE,Using Cable Management Tools to Move a Truck,https://i.ytimg.com/vi/d2LRKdsQttE/default.jpg,en,1,44673,1116121,2024-11-27
56uCjW56HWI,Building a PC Using Only Amazon's 'Overall Pick' Products,https://i.ytimg.com/vi/56uCjW56HWI/default.jpg,en,14,53014,1458802,2024-11-25
g6HYrNzOqTY,I LOVE this Setup,https://i.ytimg.com/vi/g6HYrNzOqTY/default.jpg,en,24,62425,1504098,2024-11-24
_4Sz6J49jho,My Most Unnecessary Home Project in YEARS,https://i.ytimg.com/vi/_4Sz6J49jho/default.jpg,en,19,45946,1178495,2024-11-23
cae3ichfSE4,"Google Has To Sell Chrome??? - WAN Show November 22, 2024",https://i.ytimg.com/vi/cae3ichfSE4/default.jpg,en,139,12382,647207,2024-11-22
cgxFsCD4Vug,How to Delete System32,https://i.ytimg.com/vi/cgxFsCD4Vug/default.jpg,en,1,40535,683699,2024-11-22
